Country,iso3c,Year,OVERALL SCORE
Suriname,SUR,2021,35
Sweden,SWE,2021,64.9
Switzerland,CHE,2021,58.8
Syria,SYR,2021,16.7
Tajikistan,TJK,2021,29.3
Tanzania,TZA,2021,31.3
Thailand,THA,2021,68.2
Timor-Leste,TLS,2021,27.8
Togo,TGO,2021,27.8
Tonga,TON,2021,26.4
Trinidad and Tobago,TTO,2021,36.8
Tunisia,TUN,2021,31.5
Turkey,TUR,2021,50
Turkmenistan,TKM,2021,31.9
Tuvalu,TUV,2021,20
Uganda,UGA,2021,36.5
Ukraine,UKR,2021,38.9
United Arab Emirates,ARE,2021,39.6
United Kingdom,GBR,2021,67.2
United States of America,USA,2021,75.9
Uruguay,URY,2021,40.3
Uzbekistan,UZB,2021,39
Vanuatu,VUT,2021,25.9
Venezuela,VEN,2021,20.9
Vietnam,VNM,2021,42.9
Yemen,YEM,2021,16.1
Zambia,ZMB,2021,26.5
Zimbabwe,ZWE,2021,32.4
Afghanistan,AFG,2019,27.9
Albania,ALB,2019,46.2
Algeria,DZA,2019,26.8
Andorra,AND,2019,30.5
Angola,AGO,2019,25.2
Antigua & Barbuda,ATG,2019,30.2
Argentina,ARG,2019,56.1
Armenia,ARM,2019,63.2
Australia,AUS,2019,73.2
Austria,AUT,2019,57.4
Azerbaijan,AZE,2019,34.2
Bahamas,BHS,2019,29.6
Bahrain,BHR,2019,38.9
Bangladesh,BGD,2019,35.4
Barbados,BRB,2019,32.2
Belarus,BLR,2019,41.8
Belgium,BEL,2019,61.9
Belize,BLZ,2019,30.2
Benin,BEN,2019,27
Bhutan,BTN,2019,40.8
Bolivia,BOL,2019,32
Bosnia and Hercegovina,BIH,2019,36.4
Botswana,BWA,2019,31.1
Brazil,BRA,2019,51
Brunei,BRN,2019,33
Bulgaria,BGR,2019,61.4
Burkina Faso,BFA,2019,34.4
Burundi,BDI,2019,22.7
Cabo Verde,CPV,2019,32.6
Cambodia,KHM,2019,31
Cameroon,CMR,2019,32.2
Canada,CAN,2019,67.6
Central African Republic,CAF,2019,20.7
Chad,TCD,2019,24.5
Chile,CHL,2019,53
China,CHN,2019,49
Colombia,COL,2019,50
Comoros,COM,2019,25.2
Congo (Brazzaville),COG,2019,23.9
Congo (Democratic Republic),COD,2019,26
Cook Islands,COK,2019,21.1
Costa Rica,CRI,2019,40.5
Côte d'Ivoire,CIV,2019,32.9
Croatia,HRV,2019,49.8
Cuba,CUB,2019,32.3
Cyprus,CYP,2019,42.3
Czech Republic,CZE,2019,55
Denmark,DNK,2019,67.3
Djibouti,DJI,2019,23.9
Dominica,DMA,2019,27.1
Dominican Republic,DOM,2019,35.8
Ecuador,ECU,2019,48.2
Egypt,EGY,2019,30.3
El Salvador,SLV,2019,42.9
Equatorial Guinea,GNQ,2019,18
Eritrea,ERI,2019,22.5
Estonia,EST,2019,55.6
eSwatini,SWZ,2019,30.7
Ethiopia,ETH,2019,37.4
Fiji,FJI,2019,25.4
Finland,FIN,2019,72
France,FRA,2019,62.6
Gabon,GAB,2019,19.9
Gambia,GMB,2019,29.5
Georgia,GEO,2019,48.2
Germany,DEU,2019,65.7
Ghana,GHA,2019,31.6
Greece,GRC,2019,50.6
Grenada,GRD,2019,25.6
Guatemala,GTM,2019,31
Guinea,GIN,2019,28.5
Guinea-Bissau,GNB,2019,19.3
Guyana,GUY,2019,30
Haiti,HTI,2019,30.1
Honduras,HND,2019,26.3
Hungary,HUN,2019,55
Iceland,ISL,2019,47.6
India,IND,2019,43.6
Indonesia,IDN,2019,49.2
Iran,IRN,2019,39.5
Iraq,IRQ,2019,23.3
Ireland,IRL,2019,55.1
Israel,ISR,2019,50.7
Italy,ITA,2019,51.9
Jamaica,JAM,2019,30.9
Japan,JPN,2019,58.8
Jordan,JOR,2019,41.2
Kazakhstan,KAZ,2019,44.7
Kenya,KEN,2019,43.1
Kiribati,KIR,2019,21.6
